# spell glossary: word<TAB>part_of_speech<TAB>short definition
# Coverage: bundled en_US.dic (80 words). Target ≥80% for tests.
# Context clues help users tell similar-looking words apart (e.g. there/their).
# Rebuild: python scripts/build_glossary.py  (WordNet → Wiktionary → LLM)
# Lines starting with # are comments.

hello	interj.	used as a greeting
uterus	n.	a hollow muscular organ in the pelvic cavity of females; contains the developing fetus
utica	n.	a city in central New York
utica	n.	an ancient city on the north coast of Africa (northwest of Carthage); destroyed by Arabs around 700 AD
utilitarian	n.	someone who believes that the value of a thing depends on its utility
utilitarian	adj.	having a useful function
utilitarian	adj.	having utility often to the exclusion of values
utilitarianism	n.	doctrine that the useful is the good; especially as elaborated by Jeremy Bentham and James Mill; the aim was said to be the greatest happiness for the greatest number
utility	n.	a company that performs a public service; subject to government regulation
utility	n.	the quality of being of practical use
utility	n.	the service (electric power or water or transportation) provided by a public utility
utility	n.	(economics) a measure that is to be maximized in any situation involving choice
utility	n.	(computer science) a program designed for general support of the processes of a computer
utility	n.	a facility composed of one or more pieces of equipment connected to or part of a structure and designed to provide a service such as heat or electricity or water or sewage disposal
utility	adj.	used of beef; usable but inferior
utility	adj.	capable of substituting in any of several positions on a team
utilization	n.	the act of using
utilization	n.	the state of having been made use of
utilize	v.	put into service; make work or employ for a particular purpose or for its inherent or natural purpose
utilize	v.	convert (from an investment trust to a unit trust)
utmost	n.	the greatest possible degree
utmost	adj.	of the greatest possible degree or extent or intensity
utmost	adj.	highest in extent or degree
utmost	adj.	(comparatives of `far') most remote in space or time or order
utopia	n.	a book written by Sir Thomas More (1516) describing the perfect society on an imaginary island
utopia	n.	ideally perfect state; especially in its social and political and moral aspects
utopia	n.	a work of fiction describing a utopia
utopia	n.	an imaginary place considered to be perfect or ideal
utopian	n.	an idealistic (but usually impractical) social reformer
utopian	adj.	of or pertaining to or resembling a utopia
utopian	adj.	characterized by or aspiring to impracticable perfection
utrecht	n.	a city in the central Netherlands
utrillo	n.	French painter noted for his paintings of Parisian street scenes (1883-1955)
utter	v.	articulate; either verbally or with a cry, shout, or noise
utter	v.	express audibly; utter sounds (not necessarily words)
utter	v.	express in speech
utter	v.	put into circulation
utter	adj.	without qualification; used informally as (often pejorative) intensifiers
utter	adj.	complete
utterance	n.	the use of uttered sounds for auditory communication
uttermost	n.	the greatest possible degree
uttermost	adj.	of the greatest possible degree or extent or intensity
uttermost	adj.	(comparatives of `far') most remote in space or time or order
uv	n.	radiation lying in the ultraviolet range; wave lengths shorter than light but longer than X rays
uveitis	n.	inflammation of the uvea of the eye
uvula	n.	a small pendant fleshy lobe at the back of the soft palate
uvular	adj.	of or relating to or associated with the uvula
uxorious	adj.	foolishly fond of or submissive to your wife
uzbek	n.	a member of a Turkic people of Uzbekistan and neighboring areas
uzbek	n.	a landlocked republic in west central Asia; formerly an Asian soviet
uzbek	n.	the Turkic language spoken by the Uzbek
uzbekistan	n.	a landlocked republic in west central Asia; formerly an Asian soviet
uzi	n.	a type of submachine gun that is designed and manufactured in Israel
v	n.	a unit of potential equal to the potential difference between two points on a conductor carrying a current of 1 ampere when the power dissipated between the two points is 1 watt; equivalent to the potential difference across a resistance of 1 ohm when 1 ampere of current flows through it
v	n.	a soft silvery white toxic metallic element used in steel alloys; it occurs in several complex minerals including carnotite and vanadinite
v	n.	the cardinal number that is the sum of four and one
v	n.	the 22nd letter of the Roman alphabet
v	adj.	being one more than four
va	n.	a state in the eastern United States; one of the original 13 colonies; one of the Confederate States in the American Civil War
va	n.	the United States federal department responsible for the interests of military veterans; created in 1989
vac	n.	informal term for vacation
vacancy	n.	being unoccupied
vacancy	n.	an empty area or space
vacant	adj.	void of thought or knowledge
vacant	adj.	without an occupant or incumbent
vacate	v.	leave (a job, post, or position) voluntarily
vacate	v.	leave behind empty; move out of
vacate	v.	cancel officially
vacation	n.	leisure time away from work devoted to rest or pleasure
vacation	n.	the act of making something legally void
vacation	v.	spend or take a vacation
vacationer	n.	someone on vacation; someone who is devoting time to pleasure or relaxation rather than to work
vacationist	n.	someone on vacation; someone who is devoting time to pleasure or relaxation rather than to work
vaccinate	v.	perform vaccinations or produce immunity in by inoculation
vaccination	n.	taking a vaccine as a precaution against contracting a disease
vaccination	n.	the scar left following inoculation with a vaccine
vaccine	n.	immunogen consisting of a suspension of weakened or dead pathogenic cells injected in order to stimulate the production of antibodies
vacillate	v.	be undecided about something; waver between conflicting positions or courses of action
vacillate	v.	move or sway in a rising and falling or wavelike pattern
vacillation	n.	indecision in speech or action
vacillation	n.	changing location by moving back and forth
vacuity	n.	the absence of matter
vacuity	n.	a region that is devoid of matter
vacuity	n.	total lack of meaning or ideas
vacuole	n.	a tiny cavity filled with fluid in the cytoplasm of a cell
vacuous	adj.	devoid of intelligence
vacuous	adj.	devoid of significance or point
vacuous	adj.	devoid of matter
vacuous	adj.	void of expression
vacuousness	n.	indicative of or marked by mental vacuity and an absence of ideas
vacuum	n.	the absence of matter
vacuum	n.	an empty area or space
vacuum	n.	a region that is devoid of matter
vacuum	n.	an electrical home appliance that cleans by suction
vacuum	v.	clean with a vacuum cleaner
vaduz	n.	the capital and largest city of Liechtenstein
vagabond	n.	anything that resembles a vagabond in having no fixed place
vagabond	n.	a wanderer who has no established residence or visible means of support
vagabond	v.	move about aimlessly or without any destination, often in search of food or employment
vagabond	adj.	wandering aimlessly without ties to a place or community
vagabond	adj.	continually changing especially as from one abode or occupation to another
vagabondage	n.	travelling about without any clear destination
vagary	n.	an unexpected and inexplicable change in something (in a situation or a person's behavior, etc.)
vagina	n.	the lower part of the female reproductive tract; a moist canal in female mammals extending from the labia minora to the uterus
vaginae	n.	the lower part of the female reproductive tract; a moist canal in female mammals extending from the labia minora to the uterus
vaginal	adj.	of or relating to the vagina
vaginitis	n.	inflammation of the vagina (usually associated with candidiasis)
vagrancy	n.	the state of wandering from place to place; having no permanent home or means of livelihood
vagrant	n.	a wanderer who has no established residence or visible means of support
vagrant	adj.	continually changing especially as from one abode or occupation to another
vague	adj.	not clearly understood or expressed; ; -Anatole Broyard; - P.A.Sorokin; - John Locke
vague	adj.	not precisely limited, determined, or distinguished
vague	adj.	lacking clarity or distinctness
vagueness	n.	unclearness by virtue of being poorly expressed or not coherent in meaning
vagueness	n.	indistinctness of shape or character
vagus	n.	a mixed nerve that supplies the pharynx and larynx and lungs and heart and esophagus and stomach and most of the abdominal viscera
vain	adj.	characteristic of false pride; having an exaggerated sense of self-importance
vain	adj.	unproductive of success
vainglorious	adj.	feeling self-importance
vainglory	n.	outspoken conceit
valance	n.	a decorative framework to conceal curtain fixtures at the top of a window casing
valdez	n.	a port on Alaska's southern coast from which oil is shipped to markets around the world
valdosta	n.	a town in southern Georgia near the Florida border
